['\xef\xbb\xbfCod;Ingredientes;Proteina;Gordura Total;Gordura Saturada;Gordura Trans;Fibra ;S\xc3\xb3dio;Carboidrato
['262;Manteiga', ' sem sal;0.40;86.04;51.50;;NA;3.85;0.00
['263;Margarina', ' com óleo hidrogenado', ' com sal (65% de lipídeos);Tr;67.43;14.90;;NA;894.04;0.00
['264;Margarina', ' com óleo hidrogenado', ' sem sal (80% de lipídeos);Tr;81.73;#N/A;;NA;77.89;0.00
['265;Margarina', ' com óleo interesterificado', ' com sal (65%de lipídeos);Tr;67.25;21.90;;NA;560.80;0.00
['266;Margarina', ' com óleo interesterificado', ' sem sal (65% de lipídeos);Tr;67.10;20.90;;NA;33.19;0.00
['267;Óleo', ' de babaçu;NA;100.00;50.90;;NA;0.00;NA
['268;Óleo', ' de canola;NA;100.00;7.90;;NA;0.00;NA
['269;Óleo', ' de girassol;NA;100.00;10.80;;NA;0.00;NA
['270;Óleo', ' de milho;NA;100.00;15.20;;NA;0.00;NA
['271;Óleo', ' de pequi;NA;100.00;39.90;;NA;0.00;NA
['272;Óleo', ' de soja;NA;100.00;15.20;;NA;0.00;NA
['273;Abadejo', ' filé', ' congelado', ' assado;23.53;1.24;0.57;;NA;334.39;0.00
['274;Abadejo', ' filé', ' congelado', 'cozido;19.35;0.94;0.38;;NA;189.34;0.00
['275;Abadejo', ' filé', ' congelado', ' cru;13.08;0.36;0.10;;NA;78.52;0.00
['276;Abadejo', ' filé', ' congelado', ' grelhado;27.61;1.30;0.55;;NA;305.09;0.00
['277;Atum', ' conserva em óleo;26.19;6.00;1.00;;NA;362.15;0.00
['278;Atum', ' fresco', ' cru;25.68;0.87;0.50;;NA;30.30;0.00
['279;Bacalhau', ' salgado', ' cru;29.04;1.32;0.60;;NA;13585.06;0.00
['280;Bacalhau', ' salgado', ' refogado;23.98;3.61;0.90;;*;1256.28;1.22
['281;Cação', ' posta', ' com farinha de trigo', ' frita;24.95;9.95;1.50;;0.54;160.03;3.10
['282;Cação', ' posta', ' cozida;25.59;0.75;0.20;;NA;114.91;0.00
['283;Cação', ' posta', ' crua;17.85;0.79;0.10;;NA;176.02;0.00
['284;Camarão', ' Rio Grande', ' grande', ' cozido;18.97;1.00;0.40;;NA;366.55;0.00
['285;Camarão', ' Rio Grande', ' grande', ' cru;9.99;0.50;0.10;;NA;201.13;0.00
['286;Camarão', ' Sete Barbas', ' sem cabeça', ' com casca', ' frito;18.39;15.62;2.47;;NA;99.06;2.88
['287;Caranguejo', ' cozido;18.48;0.42;0.20;;NA;360.11;0.00
['288;Corimba', ' cru;17.37;5.99;2.50;;NA;47.01;-0.03
['289;Corimbatá', ' assado;19.90;19.57;4.80;;NA;40.43;0.00
['290;Corimbatá', ' cozido;20.13;16.93;4.45;;NA;37.17;0.00
['291;Corvina de água doce', ' crua;18.92;2.24;1.20;;NA;45.09;0.00
['292;Corvina do mar', ' crua;18.57;1.58;0.70;;NA;67.97;0.00
['293;Corvina grande', ' assada;26.77;3.57;1.50;;NA;85.35;0.00
['294;Corvina grande', ' cozida;23.44;2.56;0.75;;NA;68.39;0.00
['295;Dourada de água doce', ' fresca;18.81;5.64;2.97;;NA;40.30;0.00
['296;Lambari', ' congelado', ' cru;16.81;6.55;2.00;;NA;47.92;0.00
['297;Lambari', ' congelado', ' frito;28.43;22.78;5.50;;NA;64.55;0.00
['298;Lambari', ' fresco', ' cru;15.65;9.40;3.40;;NA;41.11;0.00
['299;Manjuba', ' com farinha de trigo', ' frita;23.45;22.59;5.46;;0.36;36.52;10.24
['300;Manjuba', ' frita;30.14;24.46;5.30;;NA;40.61;0.00
['301;Merluza', ' filé', ' assado;26.60;0.92;0.20;;NA;119.95;0.00
['302;Merluza', ' filé', ' cru;16.61;2.02;0.90;;NA;79.50;0.00
['303;Merluza', ' filé', ' frito;26.93;8.50;1.40;;NA;89.96;0.00
['304;Pescada', ' branca', ' crua;16.26;4.59;0.80;;NA;76.17;0.00
['305;Pescada', ' branca', ' frita;27.36;11.78;2.30;;NA;107.23;0.00
['306;Pescada', ' filé', ' com farinha de trigo', ' frito;21.44;19.12;2.18;;Tr;90.51;5.03
['307;Pescada', ' filé', ' cru;16.65;4.00;0.90;;NA;77.50;0.00
['308;Pescada', ' filé', ' frito;28.59;3.57;1.00;;NA;114.91;0.00
